,file_number,filename,blue,green,red
283,283,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/65d7b5d7-eb82-42aa-b195-dc09c5871f37.jpeg,140.5307842740576,161.79623260727854,205.5289410389552
284,284,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/5fb795c7-f227-4827-9ec8-836ed602cc20.jpeg,129.47880453913072,149.73573140682882,187.9457416316063
285,285,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/f5709eb4-0d58-4fef-aad7-96c2d8287594.jpeg,81.80304311073542,102.86770921386307,139.01732882502114
286,286,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/506ea12f-f9c4-43c1-a8ff-982a5e19b7e0.jpeg,101.67136633247598,109.82308540234108,133.29822056584956
287,287,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/6cc5f3fe-c601-45df-aafd-ff25ef0e455e.jpeg,139.2671879179941,150.44691018750456,180.6890123787057
288,288,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/464280c2-ba1b-4e1e-81f4-d4ee4b554ce8.jpeg,160.28913991750036,177.7715139158883,208.96701199563796
289,289,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/d1d0008d-8f2f-46cc-be41-be85c2af3363.jpeg,130.86442544371033,148.47298872911,194.4335406140692
290,290,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/49baa174-ffd1-45fd-ac92-207f486a7a96.jpeg,134.86211825241793,149.8364857782648,191.924420728318
291,291,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/45308642-4bdb-48f9-8d70-6e8d035a2672.jpeg,148.70066266087105,167.3067203613739,206.40053694707237
292,292,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/663c288f-5c83-4a13-87a9-5d4b6496f3ab.jpeg,136.9210213193315,155.08273385221653,189.93004901372166
293,293,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/f426d5fd-687b-436c-b9a2-a18d1465dbb6.jpeg,129.80369726096058,147.5560338473332,175.01164607718843
294,294,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/23aea35f-fcec-4508-a1c5-5e79f1f45198.jpeg,127.22368170239312,137.1510908555288,169.87684336389
295,295,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/330c6154-b622-477d-9f38-ef928c5985d3.jpeg,134.3013949501247,149.14937266209478,170.4600802680798
296,296,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/06be7daa-b943-485c-af04-9ba75129326b.jpeg,110.2008724553386,124.98671375155796,159.36810137100125
297,297,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/03149979-8080-4410-851f-be74dd7a6d8c.jpeg,125.86380335314942,136.69220492953042,168.4478491750718
298,298,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/c851e3a3-e5c8-42c5-9ad0-e2bc1fcda3f1.jpeg,103.26184451778511,119.50295196186285,148.4448294829483
299,299,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/e239169c-52d2-48c5-9df5-c26118aec2c9.jpeg,146.90041892049481,163.24367358289155,190.75791418857702
300,300,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/43eeb39a-2ca2-4276-99af-88b3feb7a94f.jpeg,121.36965763426902,146.13332792471198,177.00610092487426
301,301,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/2a84e709-8c00-4844-935b-e5340aa5f191.jpeg,127.27833518673548,136.97984581360188,172.00023740207163
302,302,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/a5b2b0eb-a1aa-4f99-8266-0e59287e7968.jpeg,130.5134569038396,146.08392111339634,175.32398773548005
303,303,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/26023c24-1bb3-48c1-a600-da3c5e0d1cab.jpeg,131.65165824032562,148.3104073261471,184.10480460427993
304,304,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/29ccfba8-4000-4268-b29e-4a334bcdafd9.jpeg,140.0418369621758,154.73292710113697,190.89808278219513
305,305,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/93516b31-d90d-4b25-ba7f-7014efe59284.jpeg,137.6538829441249,150.75618248370682,190.53541137908604
306,306,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/97963d60-eb0d-4025-bc9f-db20c0fe5487.jpeg,99.81650793650793,117.49291005291005,147.9104761904762
307,307,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/8ba33552-ca9a-4f93-b572-92f6f5e91907.jpeg,126.15428731727083,150.0710189196771,188.08839572359193
308,308,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/2aa33458-7ddf-48f9-b739-fff2527d0918.jpeg,134.03196326132064,151.27412120102525,183.5029293299158
309,309,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/3a36eee0-8e7f-4bc2-99ab-ad27d003ce58.jpeg,123.1528107492166,147.31853575159053,183.06229227993543
310,310,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/897b2a6b-ed86-4c75-9de8-f1bbf0f30b46.jpeg,151.2204399323181,163.714551607445,191.56560067681895
311,311,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/b01d09b1-ff70-4a02-ad75-999140302a6e.jpeg,134.12454913507545,144.35557600294442,177.4642988590357
312,312,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/b83d9104-280c-44a3-ae54-78e3184cfd0b.jpeg,133.20720965514118,151.37466884043204,197.06847360912982
